taxid,name,cn_name
287,Pseudomonas aeruginosa,铜绿假单胞菌
446,Legionella pneumophila,嗜肺军团菌
470,Acinetobacter baumannii,鲍曼不动杆菌
520,Bordetella pertussis,百日咳鲍特菌
562,Escherichia coli,大肠埃希菌
573,Klebsiella pneumoniae,肺炎克雷伯菌
727,Haemophilus influenzae,流感嗜血杆菌
1280,Staphylococcus aureus,金黄色葡萄球菌
1313,Streptococcus pneumoniae,肺炎链球菌
1768,Mycobacterium kansasii,堪萨斯分枝杆菌
1817,Nocardia,诺卡菌属
2104,Mycoplasmoides pneumoniae,肺炎支原体
4840,Rhizomucor pusillus,微小根毛霉
5052,Aspergillus,曲霉属
5207,Cryptococcus neoformans,新型隐球菌
10359,Human betaherpesvirus 5 (cytomegalovirus),人疱疹病毒5型(巨细胞病毒)
10533,Human adenovirus 1,人腺病毒1型
11216,Human respirovirus 3 (Human Parainfluenza Virus 3),人副流感病毒3型
11250,Human orthopneumovirus (Human respiratory syncytial virus),人呼吸道合胞病毒
