sample__uid,taxid,name,cn_name,rankcode,reads_accum,rpm,abd,amplicon_reads,dup_accum,cov_length,ref_length,coverage,rank,parent_ratio,labels
RTI-T05-H16-tNGS-Ts16-20250303,5475,Candida,念珠菌属,G,789761,104603.8843,0.22257259,,763355,,,,1月1日,100,
RTI-T05-H16-tNGS-Ts16-20250303,5476,Candida albicans,白色念珠菌,S,35006,4636.546466,0.009865486,0,31656,0,11515,0,2,8.742,misclassified
RTI-T05-H16-tNGS-Ts16-20250303,241526,Candida africana,,S,365410,48398.57293,0.102980839,,354705,,,,1,91.258,
RTI-T05-H16-tNGS-Ts16-20250303,286,Pseudomonas,假单胞菌属,G,4,0.529800202,1.12729E-06,,0,,,,11月28日,100,
RTI-T05-H16-tNGS-Ts16-20250303,136843,Pseudomonas fluorescens group,荧光假单胞菌复合群,G1,1,0.13245005,2.81823E-07,,0,,,,,100,
RTI-T05-H16-tNGS-Ts16-20250303,543,Enterobacteriaceae,肠杆菌科,F,5,0.662250252,1.40911E-06,,0,,,,,71.429,
RTI-T05-H16-tNGS-Ts16-20250303,40323,Stenotrophomonas,寡养（窄食）单胞菌属,G,4,0.529800202,1.12729E-06,,0,,,,11月28日,100,
RTI-T05-H16-tNGS-Ts16-20250303,40324,Stenotrophomonas maltophilia,嗜麦芽窄食单胞菌,S,2,0.264900101,5.63645E-07,2,0,100,143184,0.000698402,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,374,Bradyrhizobium,慢生根瘤菌属,G,1,0.13245005,2.81823E-07,,0,,,,21/28,100,
RTI-T05-H16-tNGS-Ts16-20250303,13687,Sphingomonas,鞘氨醇单胞菌属,G,2,0.264900101,5.63645E-07,,0,,,,18/28,66.667,
RTI-T05-H16-tNGS-Ts16-20250303,165696,Novosphingobium,Novosphingobium,G,1,0.13245005,2.81823E-07,,0,,,,21/28,33.333,
RTI-T05-H16-tNGS-Ts16-20250303,1391222,Novosphingobium fluoreni,,S,1,0.13245005,2.81823E-07,1,0,50,105,0.476190476,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,41275,Brevundimonas,短波单胞菌属,G,1,0.13245005,2.81823E-07,,0,,,,21/28,100,
RTI-T05-H16-tNGS-Ts16-20250303,172043,Brevundimonas nasdae,Brevundimonas nasdae,S,1,0.13245005,2.81823E-07,1,0,50,754,0.066312997,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,963,Herbaspirillum,草螺菌属,G,4,0.529800202,1.12729E-06,,0,,,,11月28日,100,
RTI-T05-H16-tNGS-Ts16-20250303,92645,Herbaspirillum frisingense,Herbaspirillum frisingense,S,1,0.13245005,2.81823E-07,0,0,0,388,0,2,25,
RTI-T05-H16-tNGS-Ts16-20250303,863372,Herbaspirillum huttiense,哈特草螺菌,S,3,0.397350151,8.45468E-07,1,0,50,90064,0.000555161,1,75,
RTI-T05-H16-tNGS-Ts16-20250303,48736,Ralstonia,罗尔斯顿菌属,G,1,0.13245005,2.81823E-07,,0,,,,21/28,100,
RTI-T05-H16-tNGS-Ts16-20250303,329,Ralstonia pickettii,皮氏罗尔斯顿菌,S,1,0.13245005,2.81823E-07,1,0,50,333016,0.000150143,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,2974257,Hoylesella,Hoylesella,G,2,0.264900101,5.63645E-07,,0,,,,18/28,100,
RTI-T05-H16-tNGS-Ts16-20250303,633701,Hoylesella saccharolytica,Prevotella saccharolytica,S,2,0.264900101,5.63645E-07,2,0,72,859,0.083818393,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,1279,Staphylococcus,葡萄球菌属,G,4,0.529800202,1.12729E-06,,0,,,,11月28日,44.444,
RTI-T05-H16-tNGS-Ts16-20250303,1282,Staphylococcus epidermidis,表皮葡萄球菌,S,4,0.529800202,1.12729E-06,4,0,160,4315,0.037079954,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,2803850,Mammaliicoccus,Mammaliicoccus,G,5,0.662250252,1.40911E-06,,2,,,,8月28日,55.556,
RTI-T05-H16-tNGS-Ts16-20250303,71237,Mammaliicoccus vitulinus,小牛葡萄球菌,S,5,0.662250252,1.40911E-06,0,2,0,214,0,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,1378,Gemella,孪生球菌属,G,1,0.13245005,2.81823E-07,,0,,,,21/28,100,
RTI-T05-H16-tNGS-Ts16-20250303,502393,Gemella asaccharolytica,不解糖卟啉孪生球菌,S,1,0.13245005,2.81823E-07,0,0,0,200,0,1,100,hopping
RTI-T05-H16-tNGS-Ts16-20250303,1301,Streptococcus,链球菌属,G,27,3.576151362,7.60921E-06,,9,,,,3月28日,100,
RTI-T05-H16-tNGS-Ts16-20250303,1311,Streptococcus agalactiae,无乳链球菌,S,27,3.576151362,7.60921E-06,0,9,0,1755,0,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,1578,Lactobacillus,乳杆菌属,G,2607586,345374.8972,0.73487697,,2540441,,,,1月28日,100,
RTI-T05-H16-tNGS-Ts16-20250303,116089,Lactobacillus psittaci,Lactobacillus psittaci,S,1,0.13245005,2.81823E-07,,0,,,,3,0,misclassified
RTI-T05-H16-tNGS-Ts16-20250303,147802,Lactobacillus iners,惰性乳杆菌,S,2607564,345371.9833,0.73487077,2606137,2540440,787,787,1,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,1203033,Lactobacillus hominis,人乳杆菌,S,10,1.324500504,2.81823E-06,,1,,,,2,0,misclassified
RTI-T05-H16-tNGS-Ts16-20250303,2742598,Limosilactobacillus,Limosilactobacillus,G,3,0.397350151,8.45468E-07,,0,,,,16/28,0,misclassified
RTI-T05-H16-tNGS-Ts16-20250303,1350,Enterococcus,肠球菌属,G,4,0.529800202,1.12729E-06,,0,,,,11月28日,100,
RTI-T05-H16-tNGS-Ts16-20250303,1351,Enterococcus faecalis,粪肠球菌,S,1,0.13245005,2.81823E-07,1,0,50,3915,0.012771392,2,25,
RTI-T05-H16-tNGS-Ts16-20250303,1296537,Enterococcus xiangfangensis,,S,3,0.397350151,8.45468E-07,,0,,,,1,75,
RTI-T05-H16-tNGS-Ts16-20250303,1375,Aerococcus,气球菌属,G,2,0.264900101,5.63645E-07,,0,,,,18/28,100,
RTI-T05-H16-tNGS-Ts16-20250303,87541,Aerococcus christensenii,柯氏气球菌,S,2,0.264900101,5.63645E-07,,0,,,,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,1257,Peptostreptococcus,消化链球菌属,G,1,0.13245005,2.81823E-07,,0,,,,21/28,100,
RTI-T05-H16-tNGS-Ts16-20250303,1261,Peptostreptococcus anaerobius,厌氧消化链球菌,S,1,0.13245005,2.81823E-07,1,0,50,2405,0.020790021,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,29465,Veillonella,韦荣球菌属,G,8,1.059600403,2.25458E-06,,0,,,,7月28日,61.538,
RTI-T05-H16-tNGS-Ts16-20250303,29466,Veillonella parvula,小韦荣球菌,S,7,0.927150353,1.97276E-06,2,0,50,9876,0.005062778,1,87.5,
RTI-T05-H16-tNGS-Ts16-20250303,187328,Veillonella montpellierensis,Veillonella montpellierensis,S,1,0.13245005,2.81823E-07,0,0,0,77,0,2,12.5,hopping
RTI-T05-H16-tNGS-Ts16-20250303,39948,Dialister,戴阿里斯特菌属,G,5,0.662250252,1.40911E-06,,0,,,,8月28日,38.462,
RTI-T05-H16-tNGS-Ts16-20250303,218538,Dialister invisus,,S,5,0.662250252,1.40911E-06,5,0,250,1248,0.200320513,1,100,
RTI-T05-H16-tNGS-Ts16-20250303,2701,Gardnerella,加德纳菌属,G,20,2.649001009,5.63645E-06,,1,,,,5月28日,100,
